year,population,violent crime,violent crime rate,murder and non-negligent manslaughter, murder and non-negligent manslaughter rate,rape,rape rate,robbery,robbery rate, aggravated assault,aggravated assault rate,property crime,property crime rate,burglary,burglary rate,larceny-theft,larceny-theft rate,motor vehicle theft,motor vehicle theft rate
1994.00,260327021.00,1857670.00,713.60,23326.00,9.00,102216.00,39.30,618949.00,237.80,1113179.00,427.60,12131873.00,4660.20,2712774.00,1042.10,7879812.00,3026.90,1539287.00,591.30
1995.00,262803276.00,1798792.00,684.50,21606.00,8.20,97470.00,37.10,580509.00,220.90,1099207.00,418.30,12063935.00,4590.50,2593784.00,987.00,7997710.00,3043.20,1472441.00,560.30
1996.00,265228572.00,1688540.00,636.60,19645.00,7.40,96252.00,36.30,535594.00,201.90,1037049.00,391.00,11805323.00,4451.00,2506400.00,945.00,7904685.00,2980.30,1394238.00,525.70
1997.00,267783607.00,1636096.00,611.00,18208.00,6.80,96153.00,35.90,498534.00,186.20,1023201.00,382.10,11558475.00,4316.30,2460526.00,918.80,7743760.00,2891.80,1354189.00,505.70
1998.00,270248003.00,1533887.00,567.60,16974.00,6.30,93144.00,34.50,447186.00,165.50,976583.00,361.40,10951827.00,4052.50,2332735.00,863.20,7376311.00,2729.50,1242781.00,459.90
1999.00,272690813.00,1426044.00,523.00,15522.00,5.70,89411.00,32.80,409371.00,150.10,911740.00,334.30,10208334.00,3743.60,2100739.00,770.40,6955520.00,2550.70,1152075.00,422.50
2000.00,281421906.00,1425486.00,506.50,15586.00,5.50,90178.00,32.00,408016.00,145.00,911706.00,324.00,10182584.00,3618.30,2050992.00,728.80,6971590.00,2477.30,1160002.00,412.20
2001,285317559.00,1439480.00,504.50,16037.00,5.60,90863.00,31.80,423557.00,148.50,909023.00,318.60,10437189.00,3658.10,2116531.00,741.80,7092267.00,2485.70,1228391.00,430.50
2002.00,287973924.00,1423677.00,494.40,16229.00,5.60,95235.00,33.10,420806.00,146.10,891407.00,309.50,10455277.00,3630.60,2151252.00,747.00,7057379.00,2450.70,1246646.00,432.90
2003,290788976.00,1383676.00,475.80,16528.00,5.70,93883.00,32.30,414235.00,142.50,859030.00,295.40,10442862.00,3591.20,2154834.00,741.00,7026802.00,2416.50,1261226.00,433.70
2004,293656842.00,1360088.00,463.20,16148.00,5.50,95089.00,32.40,401470.00,136.70,847381.00,288.60,10319386.00,3514.10,2144446.00,730.30,6937089.00,2362.30,1237851.00,421.50
2005,296507061.00,1390745.00,469.00,16740.00,5.60,94347.00,31.80,417438.00,140.80,862220.00,290.80,10174754.00,3431.50,2155448.00,726.90,6783447.00,2287.80,1235859.00,416.80
2006,299398484.00,1435123.00,479.30,17309.00,5.80,94472.00,31.60,449246.00,150.00,874096.00,292.00,10019601.00,3346.60,2194993.00,733.10,6626363.00,2213.20,1198245.00,400.20
2007,301621157.00,1422970.00,471.80,17128.00,5.70,92160.00,30.60,447324.00,148.30,866358.00,287.20,9882212.00,3276.40,2190198.00,726.10,6591542.00,2185.40,1100472.00,364.90
2008,304059724.00,1394461.00,458.60,16465.00,5.40,90750.00,29.80,443563.00,145.90,843683.00,277.50,9774152.00,3214.60,2228887.00,733.00,6586206.00,2166.10,959059.00,315.40
2009,307006550.00,1325896.00,431.90,15399.00,5.00,89241.00,29.10,408742.00,133.10,812514.00,264.70,9337060.00,3041.30,2203313.00,717.70,6338095.00,2064.50,795652.00,259.20
2010,309330219.00,1251248.00,404.50,14722.00,4.80,85593.00,27.70,369089.00,119.30,781844.00,252.80,9112625.00,2945.90,2168459.00,701.00,6204601.00,2005.80,739565.00,239.10
2011,311587816.00,1206005.00,387.10,14661.00,4.70,84175.00,27.00,354746.00,113.90,752423.00,241.50,9052743.00,2905.40,2185140.00,701.30,6151095.00,1974.10,716508.00,230.00
2012,313873685.00,1217057.00,387.80,14856.00,4.70,85141.00,27.10,355051.00,113.10,762009.00,242.80,9001992.00,2868.00,2109932.00,672.20,6168874.00,1965.40,723186.00,230.40
2013,316128839.00,1163146.00,367.90,14196.00,4.50,79770.00,25.20,345031.00,109.10,724149.00,229.10,8632512.00,2730.70,1928465.00,610.00,6004453.00,1899.40,699594.00,221.30
