City,Hospital
"Winnipeg, Manitoba",17
"Edmonton, Alberta",13
"Calgary, Alberta",11
"Vancouver, British Columbia",10
"Victoria, British Columbia",7
"Saskatoon, Saskatchewan",6
"New Westminster, British Columbia",4
"Kamloops, British Columbia",4
"St Boniface, Manitoba",3
"General, British Columbia",3
"Bonnyville, Alberta",3
"Regina, Saskatchewan",3
"Lamont, Alberta",3
"Steinbach, Manitoba",2
"Red Deer, Alberta",2
"Prince Rupert, British Columbia",2
"Medicine Hat, Alberta",2
"Lethbridge, Alberta",2
"Brandon, Manitoba",2
"Nelson, British Columbia",2
"Yorkton, Saskatchewan",2
"Souris, Manitoba",1
"Prince Albert, Saskatchewan",1
"Port Alberni, British Columbia",1
"Ponoka, Alberta",1
"North Battleford, Saskatchewan",1
"Ninette, Manitoba",1
"Rostherm, Saskatchewan",1
"Salt Spring Island, British Columbia",1
"Selkirk, Manitoba",1
"Port Coquitlam, British Columbia",1
"Stonewall, Manitoba",1
"Squamish, British Columbia",1
"Ste Rose du Lac, Manitoba",1
"York Factory, Manitoba",1
"Winnipeg, Manitobas",1
"Willingdon, Alberta",1
"Weyburn, Saskatchewan",1
"Weyburn, Saskachewan",1
"Wetaskiwin, Alberta",1
"Westlock, Alberta",1
"Wainwright, Alberta",1
"Vilna, Alberta",1
"VictorIa, British Columbia",1
"Vernon, British Columbia",1
"Vegreville, Alberta",1
"Trochu, Alberta",1
"Tofino, British Columbia",1
"Teulon, Manitoba",1
"Summerland, British Columbia",1
"Moose Jaw, Saskatchewan",1
"Mundare, Alberta",1
"Altona, Manitoba",1
"Abbotsford-Mission, British Columbia",1
"Comox, British Columbia",1
"Estevan, Saskatchewan",1
"Esperanza, British Columbia",1
"Edson, Alberta",1
"Dawson, Territories",1
"Dawson Creek, British Columbia",1
"D'Arcy Island, British Columbia",1
"Cudworth, Saskatchewan",1
"Coquitlam, British Columbia",1
"Cold Lake, Alberta",1
"Fort St John, British Columbia",1
"Claresholm, Alberta",1
"Chilliwack, British Columbia",1
"Chesterfield Inlet, Territories",1
"Camrose, Alberta",1
"Campbell River, British Columbia",1
"Black Diamond, Alberta",1
"Beaverlodge, Alberta",1
"Banff, Alberta",1
"Fort Simpson, Territories",1
"General, Alberta",1
"Melville, Saskatchewan",1
"Humboldt, Saskatchewan",1
"Melfort, Saskatchewan",1
"Argyle, Manitoba",1
"Manning, Alberta",1
"Macklin, Saskatchewan",1
"Langley, British Columbia",1
"Kelowna, British Columbia",1
"Jasper, Alberta",1
"Islay, Alberta",1
"Hinton, Alberta",1
"General, Manitoba",1
"High River, Alberta",1
"Hazelton, British Columbia",1
"Harrison, British Columbia",1
"Gravelbourg, Saskatchewan",1
"Grande Prairie, Alberta",1
"Gimli, Manitoba",1
"General, Territories",1
"General, Saskatchewan",1
"Yukon, Territories",1
