,City,Hospital
0,"Toronto, Ontario",42
1,"Hamilton, Ontario",14
2,"London, Ontario",10
3,"Ottawa, Ontario",10
4,"Thunder Bay, Ontario",7
5,"Kingston, Ontario",7
6,"Windsor, Ontario",6
7,"General, Ontario",5
8,"St. Catharines-Niagara, Ontario",4
9,"Guelph, Ontario",4
10,"Kitchener, Ontario",4
11,"Sudbury, Ontario",3
12,"Sault Ste. Marie, Ontario",3
13,"Cornwall, Ontario",3
14,"North Bay, Ontario",3
15,"Peterborough, Ontario",3
16,"Whitby, Ontario",2
17,"St Thomas, Ontario",2
18,"Penetanguishene, Ontario",2
19,"Niagara Falls, Ontario",2
20,"Woodstock, Ontario",2
21,"Hearst, Ontario",2
22,"Chatham, Ontario",2
23,"Brockville, Ontario",2
24,"Ingersoll, Ontario",1
25,"Stratford, Ontario",1
26,"Renfrew, Ontario",1
27,"Sarnia, Ontario",1
28,"Seaforth, Ontario",1
29,"Shelburne, Ontario",1
30,"Simcoe, Ontario",1
31,"Smiths Falls, Ontario",1
32,"Southampton, Ontario",1
33,"Campbellford, Ontario",1
34,"St Marys, Ontario",1
35,"Cambridge, Ontario",1
36,"Strathroy, Ontario",1
37,"Port Hope, Ontario",1
38,"Sturgeon Falls, Ontario",1
39,"Burlington, Ontario",1
40,"Tillsonburg, Ontario",1
41,"Brantford, Ontario",1
42,"Walkerville, Ontario",1
43,"Waterloo, Ontario",1
44,"Belleville, Ontario",1
45,"Wilberforce, Ontario",1
46,"Williamsburg, Ontario",1
47,"Barry's Bay, Ontario",1
48,"Port Perry, Ontario",1
49,"Picton, Ontario",1
50,"Kemptville, Ontario",1
51,"Petrolia, Ontario",1
52,"Haliburton, Ontario",1
53,"Grevenhurst, Ontario",1
54,"Mattawa, Ontario",1
55,"Mississauga, Ontario",1
56,"Moose Factory, Ontario",1
57,"Mount Forrest, Ontario",1
58,"Newmarket, Ontario",1
59,"Gravenhurst, Ontario",1
60,"Niagara-on-the-Lake, Ontario",1
61,"Goderich, Ontario",1
62,"Oakville, Ontario",1
63,"Orangeville, Ontario",1
64,"Orillia, Ontario",1
65,"Oshawa, Ontario",1
66,"Barry, Ontario",1
67,"Owen Sound, Ontario",1
68,"Paris, Ontario",1
69,"Parry Sound, Ontario",1
70,"Peel, Ontario",1
71,"Pembroke, Ontario",1
72,"Georgetown, Ontario",1
73,"Perth, Ontario",1
74,"Cobourg, Ontario",1
75,"Almonte, Ontario",1
