Geography,Age group,2013
"Abbotsford-Mission, British Columbia",All ages,1173
"Barrie, Ontario",All ages,1344
"Brantford, Ontario",All ages,1251
"Calgary, Alberta",All ages,6226
"Edmonton, Alberta",All ages,7628
"Greater Sudbury, Ontario",All ages,1585
"Guelph, Ontario",All ages,1021
"Halifax, Nova Scotia",All ages,3007
"Hamilton, Ontario",All ages,6284
"Kelowna, British Columbia",All ages,1604
"Kingston, Ontario",All ages,1396
"Kitchener-Cambridge-Waterloo, Ontario",All ages,3329
"London, Ontario",All ages,3946
"Moncton, New Brunswick",All ages,1045
"Montreal, Quebec",All ages,26760
"Oshawa, Ontario",All ages,2456
"Ottawa-Gatineau, Ontario/Quebec",All ages,7824
"Peterborough, Ontario",All ages,1248
"Quebec, Quebec",All ages,5765
"Regina, Saskatchewan",All ages,1738
"Saguenay, Quebec",All ages,1391
"Saint John, New Brunswick",All ages,1105
"Saskatoon, Saskatchewan",All ages,1981
"Sherbrooke, Quebec",All ages,1608
"St. Catharines-Niagara, Ontario",All ages,4064
"St. John's, Newfoundland and Labrador",All ages,1507
"Thunder Bay, Ontario",All ages,1254
"Toronto, Ontario",All ages,31520
"Trois-Rivieres, Quebec",All ages,1391
"Vancouver, British Columbia",All ages,14254
"Victoria, British Columbia",All ages,3091
"Windsor, Ontario",All ages,2569
"Winnipeg, Manitoba",All ages,6005
